
Start

time_(μs) raw_current raw_low_voltage
316.00 504.00 924.00
1924.00 506.00 922.00
3480.00 511.00 932.00
5040.00 508.00 946.00
6600.00 506.00 956.00
8160.00 511.00 953.00
9720.00 510.00 954.00
11288.00 512.00 957.00
12892.00 509.00 962.00
14500.00 510.00 968.00
16100.00 507.00 974.00
17708.00 505.00 977.00
19308.00 507.00 985.00
20908.00 506.00 986.00
22508.00 509.00 991.00
24108.00 505.00 997.00
25716.00 506.00 1006.00
27360.00 507.00 1015.00
29008.00 510.00 1023.00
30648.00 507.00 1023.00
32296.00 505.00 1023.00
33952.00 508.00 1023.00
35592.00 509.00 1023.00
37248.00 508.00 1023.00
38888.00 507.00 1023.00
40536.00 510.00 1023.00
42192.00 508.00 1023.00
43836.00 507.00 1023.00
45484.00 509.00 1023.00
47136.00 508.00 1023.00
48780.00 506.00 1020.00
50432.00 507.00 1016.00
52076.00 507.00 1013.00
53720.00 508.00 1011.00
55376.00 509.00 1010.00
57020.00 509.00 1011.00
58672.00 507.00 1013.00
60316.00 506.00 1015.00
61964.00 506.00 1018.00
63616.00 506.00 1021.00
65260.00 508.00 1023.00
66912.00 509.00 1023.00
68564.00 512.00 1023.00
70212.00 506.00 1023.00
71868.00 508.00 1023.00
73516.00 511.00 1023.00
75164.00 505.00 1023.00
76820.00 508.00 1023.00
78468.00 505.00 1023.00
80124.00 507.00 1023.00
81772.00 510.00 1023.00
83420.00 511.00 1023.00
85072.00 509.00 1023.00
86724.00 507.00 1023.00
88376.00 508.00 1023.00
90028.00 502.00 1023.00
91676.00 506.00 1023.00
93332.00 502.00 1023.00
94980.00 507.00 1023.00
96636.00 508.00 1023.00
98284.00 509.00 1023.00
99932.00 508.00 1023.00
101588.00 507.00 1023.00
103280.00 511.00 1023.00
104976.00 509.00 1023.00
106676.00 512.00 1023.00
108368.00 508.00 1023.00
110064.00 505.00 1023.00
111768.00 510.00 1023.00
113456.00 508.00 1023.00
115152.00 506.00 1023.00
116856.00 508.00 1023.00
118552.00 510.00 1023.00
120256.00 510.00 1023.00
121952.00 510.00 1023.00
123640.00 504.00 1023.00
125340.00 511.00 1023.00
127040.00 506.00 1023.00
128728.00 507.00 1023.00
130428.00 511.00 1023.00
132124.00 509.00 1023.00
133792.00 512.00 1023.00
135472.00 507.00 1023.00
137148.00 510.00 1023.00
138820.00 508.00 1023.00
140496.00 505.00 1023.00
142172.00 510.00 1023.00
143844.00 509.00 1023.00
145520.00 511.00 1023.00
147196.00 509.00 1023.00
148872.00 507.00 1023.00
150552.00 510.00 1023.00
152228.00 508.00 1023.00
153904.00 509.00 1023.00
155576.00 511.00 1023.00
157252.00 507.00 1023.00
158928.00 509.00 1023.00
160604.00 508.00 1023.00
162272.00 508.00 1023.00
163952.00 511.00 1023.00
165624.00 511.00 1023.00
167304.00 507.00 1023.00
168984.00 507.00 1023.00
170656.00 508.00 1023.00
172336.00 505.00 1023.00
174008.00 507.00 1023.00
175680.00 509.00 1023.00
177360.00 510.00 1023.00
179032.00 506.00 1023.00
180708.00 506.00 1023.00
182384.00 506.00 1023.00
184060.00 505.00 1023.00
185736.00 513.00 1023.00
187416.00 509.00 1023.00
189092.00 507.00 1023.00
190768.00 509.00 1023.00
192444.00 507.00 1023.00
194112.00 510.00 1023.00
195792.00 509.00 1023.00
197468.00 506.00 1023.00
199140.00 506.00 1023.00
200816.00 507.00 1023.00
202488.00 510.00 1023.00
204168.00 511.00 1023.00
205848.00 508.00 1023.00
207520.00 508.00 1023.00
209200.00 508.00 1023.00
210872.00 509.00 1023.00
212548.00 505.00 1023.00
214224.00 509.00 1023.00
215900.00 511.00 1023.00
217572.00 507.00 1023.00
219248.00 506.00 1023.00
220920.00 507.00 1023.00
222600.00 512.00 1023.00
224280.00 508.00 1023.00
225952.00 508.00 1023.00
227632.00 509.00 1023.00
229308.00 509.00 1023.00
230980.00 509.00 1023.00
232656.00 507.00 1023.00
234328.00 511.00 1023.00
236004.00 506.00 1023.00
237680.00 509.00 1023.00
239356.00 505.00 1023.00
241032.00 506.00 1023.00
242712.00 507.00 1023.00
244388.00 508.00 1023.00
246064.00 504.00 1023.00
247736.00 510.00 1023.00
249412.00 509.00 1023.00
251088.00 506.00 1023.00
252764.00 507.00 1023.00
254436.00 508.00 1023.00
256112.00 510.00 1023.00
257784.00 506.00 1023.00
259464.00 503.00 1023.00
261144.00 506.00 1023.00
262816.00 507.00 1023.00
264496.00 505.00 1023.00
266168.00 508.00 1023.00
267844.00 509.00 1023.00
269520.00 508.00 1023.00
271192.00 507.00 1023.00
272868.00 511.00 1023.00
274544.00 509.00 1023.00
276220.00 509.00 1023.00
277896.00 508.00 1023.00
279576.00 505.00 1023.00
281252.00 507.00 1023.00
282928.00 511.00 1023.00
284600.00 506.00 1023.00
286276.00 510.00 1023.00
287952.00 511.00 1023.00
289628.00 508.00 1023.00
291296.00 508.00 1023.00
292976.00 508.00 1023.00
294648.00 508.00 1023.00
296328.00 509.00 1023.00
298008.00 508.00 1023.00
299684.00 506.00 1023.00
301360.00 507.00 1023.00
303036.00 505.00 1023.00
304708.00 507.00 1023.00
306384.00 510.00 1023.00
308060.00 507.00 1023.00
309728.00 510.00 1023.00
311408.00 507.00 1023.00
313084.00 508.00 1023.00
314760.00 506.00 1023.00
316440.00 511.00 1023.00
318116.00 504.00 1023.00
319792.00 505.00 1023.00
321468.00 507.00 1023.00
323136.00 511.00 1023.00
324816.00 507.00 1023.00
326488.00 508.00 1023.00
328160.00 509.00 1023.00
329840.00 505.00 1023.00
331504.00 506.00 1023.00
333184.00 508.00 1023.00
334864.00 508.00 1023.00
336536.00 507.00 1022.00
338216.00 507.00 1023.00
339888.00 508.00 1023.00
341560.00 509.00 1023.00
343240.00 506.00 1023.00
344912.00 508.00 1023.00
346588.00 506.00 1023.00
348264.00 504.00 1023.00
349936.00 512.00 1023.00
351616.00 507.00 1022.00
353296.00 508.00 1023.00
354968.00 509.00 1023.00
356648.00 508.00 1023.00
358324.00 508.00 1023.00
359996.00 508.00 1023.00
361672.00 508.00 1023.00
363344.00 507.00 1023.00
365020.00 510.00 1023.00
366696.00 508.00 1023.00
368372.00 509.00 1023.00
370048.00 510.00 1023.00
371728.00 508.00 1023.00
373400.00 507.00 1023.00
