Start

time_(μs) raw_current raw_low_voltage
316 508 0
996 509 40
1632 508 84
2312 508 100
3032 507 112
3752 507 121
4480 507 114
5204 507 75
5884 508 21
6572 507 0
7208 507 0
7840 507 0
8480 507 0
9112 507 0
9748 509 0
10384 507 0
11060 507 0
11740 508 0
12428 507 0
13108 507 0
13788 508 0
14476 507 9
15156 507 39
15880 508 80
16608 507 129
17372 507 180
18140 507 248
18912 507 376
19684 507 544
20444 508 714
21212 508 856
21984 508 904
22756 507 893
23516 507 873
24284 508 836
25060 508 702
25828 508 523
26588 507 347
27356 507 233
28132 507 160
28900 508 114
29660 508 80
30384 507 54
31112 507 36
31840 507 30
32560 508 33
33280 507 39
34004 507 47
34728 507 70
35448 508 108
36220 507 161
36984 507 218
37748 507 282
38516 507 389
39292 507 558
40060 508 744
40828 508 902
41596 508 1010
42416 508 1004
43228 507 981
43996 508 949
44764 507 842
45540 507 662
46308 508 464
47068 507 310
47836 507 217
48612 508 157
49388 507 118
50148 507 85
50872 508 63
51600 507 50
52328 507 53
53048 507 58
53768 507 65
54496 508 82
55216 507 117
55980 508 168
56756 508 229
57532 508 291
58292 507 387
59060 508 549
59836 508 738
60612 507 907
61380 507 1023
62192 507 1023
63008 508 1023
63824 507 992
64596 507 904
65364 507 730
66132 507 527
66908 507 357
67676 507 244
68436 507 178
69204 508 137
69976 507 101
70748 507 76
71464 507 59
72184 508 60
72912 508 65
73632 507 72
74352 507 84
75080 507 118
75852 508 169
76620 508 230
77388 507 291
78164 508 380
78940 507 536
79700 507 722
80468 508 895
81244 507 1023
82056 508 1023
82864 508 1023
83672 508 1001
84484 507 926
85256 508 761
86028 507 558
86788 507 377
87564 507 257
88332 507 186
89100 507 143
89860 507 107
90636 507 80
91360 507 62
92080 507 60
92800 507 65
93528 508 72
94256 507 82
94976 507 114
95748 508 162
96524 507 224
97300 507 286
98060 507 370
98836 508 516
99604 508 702
100380 507 879
101192 508 1023
102044 507 1023
102908 507 1023
103760 507 1001
104616 508 906
105424 507 721
106232 507 504
107048 507 333
107860 508 228
108676 507 167
109488 508 125
110296 507 90
111068 507 67
111844 507 59
112612 507 63
113380 507 69
114156 507 78
114924 508 109
115744 507 159
116552 507 223
117360 507 285
118176 508 379
118992 507 547
119800 507 744
120608 508 919
121424 507 1023
122284 508 1023
123136 508 1023
123992 508 992
124800 507 870
125608 508 672
126420 508 458
127240 507 300
128056 507 211
128864 507 155
129672 507 117
130484 507 84
131260 507 63
132020 507 60
132788 507 64
133564 507 70
134340 507 84
135100 507 119
135912 508 173
136728 507 237
137544 507 304
138360 507 412
139168 507 591
139976 508 789
140792 507 960
141608 507 1023
