508 1023
4004348 508 1023
4005252 508 1023
4006156 508 1023
400788 8 508 1023
55559856 508 1023
55560808 507 1023
55561760 507 1023
55562712 508 1023
55563664 507 1023
55564616 508 1023
55565568 508 1023
55566520 508 1023
3
55560808 507 1023
55561760 507 1023
55562712 508 1023
55563664 507 1023
55564616 508 1023
55565568 508 1023
55566520 508 1023
3
55560808 507 1023
55561760 507 1023
55562712 508 1023
55563664 507 1023
55564616 508 1023
55565568 508 1023
55566520 508 1023
Start

time_(μs) raw_current raw_low_voltage
316 466 951
1092 467 957
1816 469 954
2544 471 953
3272 474 952
3992 476 950
4712 478 949
5440 480 949
6168 483 948
6888 484 949
7616 487 949
8344 489 951
9064 492 953
9784 494 956
10512 496 957
11284 498 960
12044 501 963
12816 503 965
13584 505 968
14356 506 971
15116 507 974
15892 507 974
16660 507 971
17424 507 972
18188 507 974
18964 507 975
19732 508 976
20500 507 977
21260 508 979
22032 508 980
22804 508 981
23568 508 983
24332 508 984
25104 508 987
25876 507 988
26640 507 989
27404 508 990
28180 508 991
28944 508 991
29716 508 991
30476 508 990
31252 508 990
32028 508 990
32792 507 994
33556 507 993
34332 508 993
35100 508 994
35868 508 995
36636 507 996
37412 508 999
38188 508 1002
39008 508 1006
39816 508 1008
40624 507 1013
41440 507 1017
42252 507 1020
43068 507 1023
43880 508 1023
44688 509 1023
45500 508 1023
46316 508 1023
47136 508 1023
47944 508 1023
48752 507 1023
49564 507 1023
50384 508 1023
51192 508 1023
52000 509 1023
52812 508 1023
53628 507 1023
54444 508 1023
55256 508 1023
56064 508 1023
56876 508 1023
57692 508 1023
58508 507 1023
59320 508 1023
60128 508 1023
60944 508 1023
61760 508 1021
62572 507 1019
63384 508 1019
64192 508 1017
65004 508 1017
65820 507 1016
66636 507 1015
67448 508 1015
68256 508 1014
69068 508 1014
69888 508 1015
70704 507 1014
71512 508 1015
72320 508 1015
73132 508 1016
73952 508 1017
74768 508 1018
75576 508 1020
76384 508 1021
77200 508 1022
78012 508 1023
78824 508 1023
79632 508 1023
80448 508 1023
81260 508 1023
82080 508 1023
82888 507 1023
83696 508 1023
84508 508 1023
85324 507 1023
86140 508 1023
86952 507 1023
87760 508 1023
88572 508 1023
89392 508 1023
90208 508 1023
91016 507 1023
91824 508 1023
92640 508 1023
93452 507 1023
94268 508 1023
95080 508 1023
95888 508 1023
96704 509 1023
97520 508 1023
98336 508 1023
99144 507 1023
99952 508 1023
100768 507 1023
101624 508 1023
102480 508 1023
103328 508 1023
104180 508 1023
105032 508 1023
105888 508 1023
106744 508 1023
107600 508 1023
108452 508 1023
109300 508 1023
110160 508 1023
111016 507 1023
111876 508 1023
112732 508 1023
113580 508 1023
114436 508 1023
115296 507 1023
116152 507 1023
117008 508 1023
117864 508 1023
118716 508 1023
119572 507 1023
120436 507 1023
121288 508 1023
122144 508 1023
123000 508 1023
123852 507 1023
124708 508 1023
125564 508 1023
126424 508 1023
127280 507 1023
128140 508 1023
128984 508 1023
129836 508 1023
130684 507 1023
131544 508 1023
132400 507 1023
133256 508 1023
134108 508 1023
134964 508 1023
135820 508 1023
136680 508 1023
137536 509 1023
138396 508 1023
139244 508 1023
140100 508 1023
140956 508 1023
141816 507 1023
142672 507 1023
143532 508 1023
144380 508 1023
145236 507 1023
146092 508 1023
146952 508 1023
147812 508 1023
148668 508 1023
149520 508 1023
150372 508 1023
151228 508 1023
152092 508 1023
152944 509 1023
153804 508 1023
154656 508 1023
155508 509 1023
156364 507 1023
157224 508 1023
158084 508 1023
158936 508 1023
159796 508 1023
160644 508 1023
161500 507 1023
162352 508 1023
163208 507 1023
164064 508 1023
164920 508 1023
165772 507 1023
166620 508 1023
167472 508 1023
168328 509 1023
169184 508 1023
170040 508 1023
170892 507 1023
171756 508 1023
172608 507 1023
173464 507 1022
174320 508 1023
175176 508 1023
176028 508 1022
176884 508 1023
177736 508 1023
178592 508 1023
179448 508 1023
180304 508 1023
181156 508 1023
182012 508 1023
182872 507 1023
183732 508 1023
184588 508 1023
185440 508 1023
186292 508 1023
187148 507 1023
188012 508 1023
188864 507 1023
189720 508 1023
190576 508 1023
191428 508 1023
192284 508 1023
193144 508 1023
194000 507 1023
194856 508 1023
195712 508 1023
196564 508 1023
197420 508 1023
198276 508 1023
199140 507 1023
199996 507 1023
200852 508 1022
201700 507 1023
202556 507 1023
203412 508 1023
204276 508 1023
205132 507 1023
205984 508 1023
206836 507 1023
207692 508 1023
208548 508 1023
209400 508 1023
210256 507 1023
211112 508 1023
211964 508 1023
212820 508 1023
213676 507 1023
214532 508 1023
215384 508 1023
216240 507 1023
217096 508 1023
217948 507 1023
218804 508 1023
219664 508 1023
220524 508 1023
221376 508 1023
222236 508 1023
223084 507 1023
223940 508 1023
224804 508 1023
225664 507 1023
226520 508 1023
227376 508 1023
228228 509 1023
229084 508 1023
229948 508 1023
230804 508 1023
231656 508 1023
232516 507 1023
233364 507 1023
234220 508 1023
235084 508 1023
235940 508 1023
236796 508 1023
237652 508 1023
238508 508 1023
239364 508 1023
240228 508 1023
241080 508 1023
241936 508 1023
242792 508 1023
243644 508 1023
244500 508 1023
245360 508 1023
246220 507 1023
247072 508 1023
247928 508 1023
248780 507 1023
249636 508 1023
250492 508 1023
251356 509 1023
252212 508 1023
253064 508 1023
253916 509 1023
254772 508 1023
255628 509 1023
256492 508 1023
257352 508 1023
258208 508 1023
259060 507 1023
259916 507 1023
260772 508 1023
261636 508 1023
262488 508 1023
263344 508 1023
264200 508 1023
265052 508 1023
265908 507 1023
266772 507 1023
267624 508 1023
268480 508 1023
269336 508 1023
270188 509 1023
271044 508 1023
271908 508 1023
272764 508 1023
273616 508 1023
274472 508 1023
275324 508 1023
276180 508 1023
277044 507 1023
277896 508 1023
278756 508 1023
279612 507 1023
280460 508 1023
281316 507 1023
282180 508 1023
283032 507 1023
283892 507 1023
284748 508 1023
285596 508 1023
286452 508 1023
287316 508 1023
288172 507 1023
289024 508 1023
289880 508 1023
290732 508 1023
291588 508 1023
292452 508 1023
293308 508 1023
294164 508 1023
295020 508 1023
295868 508 1023
296724 508 1023
297588 508 1023
298444 508 1023
299300 507 1023
300156 507 1023
301004 508 1023
301860 508 1023
302716 507 1023
303580 508 1023
304444 507 1023
305308 508 1023
306156 508 1023
307012 509 1023
307868 509 1023
308728 509 1023
309588 508 1023
310444 508 1023
311292 508 1023
312148 507 1023
313004 508 1023
313868 508 1023
314724 508 1023
315580 508 1023
316436 508 1023
317292 507 1023
318148 508 1023
319012 508 1023
319868 507 1023
320732 507 1023
321592 508 1023
322444 508 1023
323300 508 1023
324160 508 1023
325016 508 1023
325876 508 1023
326732 508 1023
327580 508 1023
328436 508 1023
329296 507 1023
330152 508 1023
331008 508 1023
331864 508 1023
332716 507 1023
333572 508 1023
334432 508 1023
335288 508 1023
