Start

time_(μs) raw_current raw_low_voltage
316 519 1023
1136 513 1023
1900 512 1023
2668 510 1023
3440 509 1023
4208 509 1023
4972 509 1023
5740 509 1023
6516 509 1023
7280 509 1023
8044 508 1023
8812 508 1023
9584 508 1023
10356 509 1023
11160 509 1023
11968 508 1023
12780 508 1023
13600 509 1023
14412 509 1023
15224 509 1023
16032 509 1023
16844 509 1023
17660 509 1023
18476 509 1023
19288 509 1023
20096 509 1023
20908 509 1023
21724 509 1023
22540 509 1023
23352 509 1023
24160 508 1023
24972 509 1023
25788 508 1023
26600 509 1023
27408 509 1023
28220 509 1023
29036 508 1023
29852 509 1023
30664 509 1023
31472 509 1023
32288 509 1023
33100 509 1023
33916 509 1023
34728 509 1023
35536 508 1023
36348 509 1023
37164 508 1023
37980 509 1023
38792 509 1023
39600 509 1023
40416 509 1023
41228 509 1023
42044 509 1023
42856 509 1023
43664 509 1023
44476 509 1023
45296 508 1023
46108 510 1023
46920 509 1023
47728 509 1023
48544 508 1023
49360 509 1023
50168 509 1023
50976 508 1023
51792 508 1023
52604 508 1023
53420 508 1023
54232 509 1023
55040 509 1023
55852 509 1023
56672 508 1023
57484 509 1023
58296 509 1023
59104 509 1023
59920 509 1023
60736 508 1023
61552 509 1023
62360 507 1023
63168 509 1023
63984 509 1023
64800 509 1023
65612 509 1023
66424 509 1023
67232 510 1023
68044 509 1023
68860 508 1023
69676 509 1023
70488 509 1023
71296 509 1023
72112 509 1023
72924 509 1023
73744 509 1023
74552 509 1023
75360 508 1023
76176 509 1023
76992 508 1023
77800 509 1023
78608 508 1023
79424 508 1023
80240 509 1023
81052 508 1023
81864 509 1023
82672 509 1023
83484 509 1023
84300 509 1023
85116 508 1023
85928 510 1023
86736 509 1023
87548 508 1023
88368 508 1023
89180 508 1023
89992 509 1023
90800 509 1023
91616 509 1023
92432 510 1023
93248 508 1023
94056 509 1023
94864 508 1023
95680 508 1023
96496 510 1023
97312 508 1023
98120 508 1023
98928 509 1023
99744 510 1023
100560 509 1023
101416 508 1023
102268 508 1023
103124 509 1023
103984 508 1023
104840 509 1023
105696 508 1023
106552 509 1023
107404 509 1023
108268 509 1023
109128 509 1023
109984 508 1023
110840 509 1023
111696 509 1023
112548 509 1023
113404 509 1023
114264 509 1023
115120 508 1023
115980 509 1023
116832 509 1023
117684 509 1023
118540 509 1023
119400 509 1023
120256 509 1023
121112 509 1023
121972 508 1023
122820 509 1023
123676 508 1023
124536 509 1023
125392 509 1023
126252 509 1023
127104 509 1023
127956 509 1023
128812 508 1023
129668 509 1023
130520 508 1023
131376 509 1023
132232 509 1023
133084 509 1023
133940 508 1023
134796 508 1023
135656 509 1023
136516 509 1023
137368 509 1023
138220 509 1023
139076 509 1023
139932 509 1023
140796 509 1023
141652 508 1023
142512 509 1023
143368 509 1023
144220 509 1023
145068 509 1023
145928 509 1023
146784 509 1023
147644 508 1023
148496 509 1023
149348 509 1023
150196 509 1023
151060 508 1023
151916 509 1023
152772 510 1023
153636 510 1023
154484 508 1023
155340 508 1023
156204 509 1023
157056 508 1023
157916 510 1023
158772 509 1023
159620 509 1023
160476 509 1023
161336 509 1023
162192 508 1023
163048 508 1023
163904 509 1023
164756 509 1023
165604 509 1023
166464 510 1023
167320 509 1023
168176 508 1023
169032 508 1023
169884 509 1023
170740 509 1023
171592 509 1023
172448 509 1023
173304 509 1023
174160 509 1023
175012 508 1023
175868 508 1023
176732 508 1023
177584 509 1023
178444 509 1023
179296 509 1023
180148 509 1023
180996 509 1023
181856 508 1023
182712 509 1023
183572 509 1023
184428 509 1023
185276 508 1023
186132 509 1023
186992 509 1023
187848 509 1023
188704 509 1023
189564 509 1023
190412 509 1023
191268 508 1023
192124 508 1023
192984 510 1023
193840 508 1023
194696 508 1023
195548 508 1023
196404 508 1023
197260 509 1023
198120 509 1023
198980 509 1023
199836 509 1023
200684 509 1023
201540 509 1023
202396 509 1023
203260 509 1023
204116 509 1023
204972 509 1023
205820 510 1023
206668 509 1023
207524 508 1023
208376 508 1023
209232 508 1023
210088 509 1023
210940 509 1023
211788 508 1023
212644 508 1023
213504 509 1023
214364 509 1023
215220 509 1023
216072 509 1023
216924 509 1023
217780 509 1023
218640 509 1023
219496 510 1023
220356 509 1023
221208 509 1023
222060 508 1023
222916 509 1023
223780 508 1023
224636 508 1023
225492 509 1023
226344 509 1023
227196 509 1023
228052 510 1023
228912 509 1023
229772 508 1023
230628 509 1023
231480 510 1023
232332 509 1023
233188 509 1023
234052 509 1023
234908 508 1023
235764 509 1023
236616 509 1023
237468 508 1023
