508 1023
70307416 508 1023
70308368 508 1023
70309320 508 1023
70310272 508 1023
70311228 508 1023
70312176 508 Start

time_(μs) raw_current raw_low_voltage
316 467 992
1092 468 992
1816 470 993
2544 472 994
3272 475 996
3992 477 998
4712 479 1000
5484 481 1002
6248 483 1005
7012 486 1008
7780 488 1010
8552 491 1012
9320 494 1015
10084 495 1018
10896 497 1020
11708 500 1022
12524 505 1023
13340 505 1023
14152 506 1023
14960 507 1023
15772 507 1023
16588 508 1023
17400 507 1023
18208 507 1023
19020 508 1023
19840 508 1023
20652 507 1023
21464 508 1023
22272 508 1023
23084 509 1023
23900 508 1023
24720 508 1023
25528 508 1023
26336 508 1023
27148 507 1023
27964 507 1023
28780 508 1023
29592 507 1023
30400 508 1023
31212 508 1023
32028 508 1023
32844 507 1023
33656 508 1023
34464 508 1023
35276 508 1023
36092 507 1023
36908 508 1023
37720 508 1023
38528 507 1023
39340 507 1023
40160 508 1023
40972 508 1023
41784 508 1023
42592 508 1023
43404 507 1023
44220 508 1023
45032 508 1023
45840 508 1023
46652 508 1023
47468 508 1023
48284 508 1023
49096 508 1023
49904 507 1023
50720 508 1023
51536 508 1023
52348 508 1023
53160 508 1023
53968 507 1023
54780 508 1023
55600 509 1023
56416 507 1023
57224 508 1023
58032 508 1023
58844 508 1023
59664 508 1023
60480 507 1023
61288 508 1023
62096 507 1023
62908 507 1023
63728 508 1023
64544 508 1023
65352 508 1023
66160 508 1023
66972 508 1023
67788 508 1023
68600 508 1023
69408 508 1023
70224 508 1023
71040 508 1023
71856 508 1023
72664 508 1023
73472 508 1023
74288 508 1023
75100 508 1023
75920 508 1023
76728 507 1023
77536 508 1023
78352 508 1023
79168 507 1023
79984 508 1023
80792 509 1023
81600 508 1023
82412 508 1023
83228 508 1023
84044 508 1023
84856 508 1023
85664 508 1023
86480 508 1023
87292 508 1023
88108 508 1023
88920 508 1023
89728 508 1023
90540 508 1023
91360 508 1023
92176 508 1023
92984 507 1023
93792 508 1023
94608 507 1023
95424 508 1023
96232 508 1023
97040 509 1023
97856 508 1023
98672 508 1023
99488 508 1023
100296 507 1023
101148 508 1023
102008 508 1023
102868 508 1023
103720 508 1023
104576 509 1023
105428 509 1023
106276 508 1023
107132 508 1023
107984 508 1023
108840 508 1023
109696 507 1023
110548 509 1023
111404 507 1023
112260 508 1023
113120 508 1023
113976 508 1023
114832 508 1023
115684 508 1023
116540 507 1023
117396 508 1023
118260 508 1023
119112 508 1023
119972 507 1023
120820 508 1023
121676 508 1023
122532 508 1023
123396 508 1023
124248 508 1023
125104 508 1023
125964 508 1023
126812 507 1023
127668 508 1023
128532 508 1023
129384 507 1023
130240 509 1023
131096 508 1023
131948 508 1023
132804 508 1023
133664 508 1023
134520 508 1023
135376 507 1023
136232 509 1023
137084 507 1023
137940 508 1023
138800 508 1023
139656 508 1023
140512 508 1023
141372 508 1023
142220 508 1023
143076 508 1023
143940 508 1023
144796 508 1023
145648 508 1023
146504 508 1023
147356 509 1022
148212 508 1023
149072 508 1023
149932 508 1023
150784 508 1023
151644 508 1023
152492 508 1023
153348 508 1023
154212 508 1023
155064 508 1023
155920 508 1023
156780 508 1023
157628 508 1023
158484 509 1023
159344 507 1023
160204 507 1023
161056 507 1023
161912 508 1023
162764 508 1023
163620 508 1023
164476 508 1023
165336 508 1023
166192 508 1023
167048 508 1023
167900 508 1023
168748 508 1023
169604 508 1023
170464 508 1023
171320 508 1023
172176 508 1023
173028 507 1023
173884 507 1023
174740 508 1023
175600 508 1023
176456 508 1023
177312 507 1023
178164 509 1023
179020 508 1023
179876 508 1023
180736 508 1023
181592 508 1023
182452 508 1023
183304 508 1023
184156 508 1023
185012 508 1023
185872 508 1023
186728 508 1023
187584 508 1023
188440 508 1023
189292 509 1023
190148 508 1023
191012 508 1023
191868 508 1023
192724 508 1023
193584 507 1023
194436 508 1023
195292 507 1023
196152 507 1023
197012 508 1023
197868 507 1023
198724 508 1023
199572 508 1023
200428 508 1023
201288 508 1023
202144 508 1023
203004 508 1023
203860 508 1023
204708 508 1022
205564 507 1023
206424 507 1023
207280 508 1023
208136 509 1023
208992 508 1023
209844 508 1023
210692 507 1023
211552 507 1023
212408 508 1023
213264 508 1023
214120 508 1023
214972 508 1023
215828 508 1023
216688 508 1023
217544 508 1023
218404 508 1023
219256 508 1023
220108 508 1023
220964 508 1023
221820 508 1023
222684 508 1023
223540 508 1023
224396 508 1023
225244 508 1023
226100 508 1023
226956 507 1023
227816 508 1023
228676 508 1023
229532 508 1023
230380 508 1023
231236 508 1023
232092 508 1023
232952 508 1023
233812 507 1023
234664 508 1023
235516 507 1023
236372 507 1023
237228 508 1023
238092 508 1023
238944 508 1023
239804 508 1023
240660 508 1023
241516 508 1023
242372 508 1023
243236 508 1023
244088 508 1023
244944 508 1023
245804 508 1023
246652 508 1023
247508 507 1023
248372 508 1023
249224 508 1023
250084 508 1023
250936 507 1023
251788 508 1023
252652 508 1023
253516 508 1023
254372 508 1023
255228 508 1023
256092 508 1023
256944 508 1023
257796 508 1023
258648 508 1023
259504 508 1023
260360 507 1023
261216 508 1023
262068 508 1023
262924 508 1023
263784 508 1023
264640 508 1023
265496 508 1023
266356 508 1023
267204 507 1023
268060 508 1023
268920 508 1023
269776 507 1023
270632 508 1023
271492 507 1023
272340 507 1023
273196 508 1023
274052 508 1023
274912 508 1023
275772 508 1023
276628 508 1023
277476 508 1023
278332 508 1023
279188 507 1023
280052 508 1023
280904 508 1023
281764 508 1023
282612 508 1023
283468 507 1023
284324 508 1023
285184 508 1023
286044 508 1023
286900 508 1023
287752 508 1023
288604 508 1023
289460 507 1023
290320 508 1023
291180 508 1023
292036 508 1023
292888 507 1023
293740 508 1023
294596 508 1023
295456 508 1023
296316 508 1023
297172 508 1023
298028 508 1023
298876 508 1023
299732 508 1023
300596 508 1023
301452 508 1023
302316 508 1023
303172 508 1023
304028 507 1023
304884 508 1023
305748 508 1023
306604 508 1023
307468 508 1023
308328 508 1023
309180 508 1023
310036 507 1023
310900 508 1023
311756 508 1023
312612 508 1022
313476 507 1023
314324 508 1023
315180 508 1023
316036 508 1023
316900 508 1023
317764 508 1023
318620 508 1023
319468 508 1023
320324 508 1023
321180 508 1023
322036 508 1023
322888 508 1022
323744 508 1023
324596 508 1023
325452 508 1023
326308 508 1023
327172 508 1023
328036 508 1023
328888 508 1023
329744 508 1023
330596 508 1023
331452 508 1023
332312 508 1023
333172 508 1023
334024 507 1023
334880 508 1023
335732 508 1022
336588 507 1023
337448 507 1023
338304 508 1023
339160 508 1023
340020 508 1023
340868 508 1023
341724 508 1023
342588 507 1023
343440 507 1023
344296 509 1023
345156 508 1023
346004 508 1023
346860 508 1023
347724 507 1023
348580 508 1023
349432 508 1023
350292 507 1023
351140 508 1023
351996 508 1023
352860 508 1023
353720 508 1023
354576 508 1023
355432 508 1023
356284 507 1023
357140 507 1023
358004 508 1023
358860 508 1023
359712 508 1023
360568 508 1023
361420 507 1023
362276 508 1023
363132 507 1023
363996 508 1023
364852 508 1023
365704 509 1023
366556 508 1023
367412 508 1023
368268 508 1023
369132 507 1023
369984 508 1023
370840 508 1023
371692 508 1023
372548 508 1023
373404 508 1023
374268 507 1023
375124 508 1023
375980 508 1023
376828 507 1023
377692 508 1023
378548 508 1023
379412 508 1023
380268 508 1023
381124 508 1023
381980 507 1023
382828 507 1023
383684 508 1023
384548 508 1023
385408 508 1023
386264 508 1023
387124 508 1023
387972 508 1023
388828 508 1023
389692 508 1023
390544 508 1023
391400 508 1023
392260 507 1023
393108 507 1023
393964 508 1023
394828 508 1023
395684 508 1023
396540 508 1023
397396 507 1023
398252 507 1023
399108 507 1023
399972 508 1023
400836 508 1023
401696 508 1023
402552 507 1023
403404 508 1023
404260 508 1023
405116 508 1023
405980 508 1023
406844 508 1023
407700 508 1023
408548 508 1023
409404 507 1023
410260 507 1023
411120 508 1023
411976 508 1023
412832 507 1023
413684 507 1023
414532 508 1023
415388 508 1023
416248 507 1023
417104 508 1023
417960 508 1023
418812 508 1023
419668 508 1023
420524 507 1023
421384 508 1023
422240 507 1023
423096 508 1023
423952 507 1023
424804 508 1023
425660 508 1023
426520 507 1023
427380 508 1023
428236 508 1023
429092 508 1023
429940 509 1022
430796 507 1023
431660 508 1023
432516 508 1023
433372 508 1023
434228 508 1023
435076 508 1023
435932 508 1023
436796 507 1023
437652 508 1023
438508 508 1023
439364 508 1023
440212 508 1023
441068 508 1023
441932 508 1023
442784 508 1023
443644 508 1023
444500 508 1023
445348 508 1023
446204 508 1023
447068 508 1023
447924 508 1023
448780 508 1023
449644 508 1023
450492 508 1022
451348 507 1023
452208 508 1023
453064 508 1023
453924 507 1023
454780 508 1023
455628 508 1023
456484 507 1023
457340 507 1023
458204 507 1023
459060 508 1023
459916 507 1023
460764 508 1023
461620 508 1023
462476 507 1023
463336 508 1023
464196 507 1023
465048 508 1023
465900 507 1023
466756 508 1023
467612 508 1023
468476 508 1023
469332 508 1023
470188 508 1023
471052 508 1023
471908 508 1023
472764 507 1023
473628 508 1023
474480 508 1023
475340 508 1023
476196 508 1023
477044 507 1023
477900 508 1023
478764 508 1023
479628 508 1023
480484 508 1023
481344 508 1023
482196 508 1023
483052 507 1023
483916 508 1023
484772 508 1023
485628 508 1023
486484 508 1023
487332 508 1023
488188 508 1023
489048 508 1023
489904 507 1023
490764 507 1023
491620 508 1023
492468 508 1023
493324 507 1023
494188 508 1023
495040 507 1023
495900 508 1023
496756 507 1023
497612 508 1023
498468 508 1023
499324 508 1023
500184 508 1023
501044 508 1023
501900 508 1023
502748 508 1023
503604 508 1023
504460 507 1023
505324 508 1023
506180 508 1023
507044 508 1023
507900 508 1023
508756 508 1023
509612 509 1023
510476 508 1023
511332 507 1023
512196 508 1023
513056 508 1023
513908 507 1023
514764 508 1023
515624 507 1023
516480 507 1023
517336 508 1023
518192 507 1022
519044 507 1023
519900 508 1023
520764 508 1023
521616 507 1023
522472 508 1023
523328 508 1023
524180 508 1023
525036 508 1023
525896 508 1023
526756 507 1023
527612 508 1023
528468 508 1023
529316 507 1023
530172 507 1023
531036 508 1023
531892 508 1023
