508 1023
4004356 509 1023
4005260 509 1023
4006164 509 1023
4007279
995369088 509 114
 508 30
995363616 509 19
995364528 508 18
995365440 508 24
995366352 508 31
995367264 508 50
995368176 509 79
995369088 509 114
995370044 508 153
995370988 508 209
08 18
995365440 508 24
995366352 508 31
995367264 508 50
995368176 509 79
995369088 509 114
995370044 508 153
995370988 508 209
08 18
995365440 508 24
995366352 508 31
995367264 508 50
995368176 509 79
995369088 509 114
995370044 508 153
995370988 508 209
Start

time_(μs) raw_current raw_low_voltage
316 509 0
996 509 0
1588 510 0
2232 509 0
2864 508 0
3496 508 3
4136 508 20
4812 508 42
5500 509 68
6180 508 97
6860 509 126
7592 508 164
8320 508 219
9040 509 286
9760 509 317
10488 509 314
11252 508 308
12020 508 299
12792 510 296
13564 508 289
14332 508 257
15100 509 214
15876 508 163
16640 509 119
17404 508 85
18120 508 66
18848 509 53
19576 508 41
20296 508 33
21016 508 30
21744 509 35
22464 509 41
23184 508 48
23912 508 63
24640 509 85
25360 508 113
26132 509 147
26896 508 182
27664 509 225
28428 509 292
29204 508 318
29972 508 317
30740 508 313
31508 508 303
32284 509 298
33056 509 294
33828 509 279
34588 508 245
35360 508 196
36128 508 147
36896 509 105
37660 508 76
38392 508 62
39120 508 48
39840 508 37
40560 509 31
41288 510 30
42016 509 37
42736 508 44
43464 508 52
44192 508 70
44912 509 95
45632 508 125
46400 509 160
47168 508 196
47932 508 247
48700 509 312
49476 509 317
50244 509 317
51012 509 311
51784 508 301
52556 510 297
53324 508 293
54084 508 268
54852 509 229
55628 509 178
56396 508 131
57156 508 94
57880 509 71
58608 509 57
59328 508 45
60048 509 35
60776 509 30
61504 508 32
62224 510 38
62952 509 46
63680 508 57
64400 508 77
65120 509 104
65888 508 138
66660 509 171
67420 509 211
68188 509 271
68964 508 318
69732 508 317
70492 509 314
71260 509 307
72036 508 299
72812 509 295
73572 508 288
74340 509 255
75116 509 211
75884 508 160
76652 509 116
77420 508 84
78152 508 65
78880 509 52
79600 509 40
80328 508 32
81056 508 28
81776 509 35
82496 508 41
83224 508 49
83944 509 64
84664 508 86
85392 509 115
86164 509 150
86924 509 184
87692 509 230
88468 508 296
89236 509 318
89996 508 316
90764 509 313
91540 509 303
92316 509 297
93084 508 293
93852 509 276
94628 510 242
95396 509 193
96164 508 143
96932 507 101
97708 507 74
98432 509 59
99152 508 47
99876 509 36
100600 508 31
101364 508 31
102132 508 37
102908 509 44
103680 509 55
104444 508 77
105212 509 105
106028 508 140
106844 509 176
107660 509 223
108472 509 294
109280 508 318
110092 507 315
110912 509 312
111728 509 301
112536 509 296
113344 508 292
114160 509 262
114976 508 219
115792 509 164
116600 508 117
117408 508 82
118180 509 61
118956 508 47
119716 508 35
120484 508 28
121260 509 27
122028 509 33
122796 508 40
123564 508 50
124340 509 70
125108 509 98
125868 508 131
126680 509 165
127496 509 207
128312 509 274
129124 508 317
129936 510 317
130744 508 314
131560 509 302
132376 509 298
133192 508 293
134000 508 270
134808 509 228
135620 509 174
136440 508 126
137252 508 87
138020 508 65
138788 508 51
139564 509 37
140340 509 29
141108 508 27
141876 508 32
142652 508 39
143428 508 47
144196 509 67
144964 509 94
145736 509 125
146552 508 160
147360 508 200
148168 509 262
148984 509 318
149800 508 317
150616 508 313
151424 508 303
152232 509 299
153048 508 294
153864 508 273
154680 508 236
155488 509 182
156296 508 132
157112 509 93
157884 508 69
158652 508 52
159420 509 40
160196 509 29
160972 509 27
161732 509 31
162500 508 37
163276 508 45
164052 509 63
164812 508 87
165580 508 119
166396 509 153
167216 508 193
168028 509 250
168840 508 316
169648 509 317
170460 508 314
171280 509 305
172096 510 298
172904 509 295
173712 509 280
174528 509 244
175340 509 192
176160 508 140
176968 508 96
177732 508 71
178508 508 55
179284 509 41
180052 509 31
180820 508 25
181596 509 30
182364 508 36
183132 508 43
183900 509 60
184676 509 82
185452 509 112
186256 508 148
187072 509 185
187888 509 239
188704 509 310
189520 508 317
190328 508 314
191136 509 308
191952 508 300
192768 508 295
193584 509 285
194392 509 250
195200 508 200
196012 509 147
196828 508 102
197644 509 73
198412 508 57
199188 508 43
199956 508 32
200732 508 26
201500 510 28
202276 508 35
203052 508 42
203828 508 56
204596 508 79
205368 508 109
206180 509 145
206996 509 182
207808 509 232
208616 509 304
209432 508 317
210248 509 315
211060 508 309
211872 508 300
212680 509 296
213496 508 288
214312 509 253
215128 510 205
215936 508 151
216744 509 107
217560 508 74
218332 509 58
219100 508 44
219868 508 33
220644 508 26
221420 509 29
222180 509 34
222948 508 42
223724 508 55
224500 508 77
225268 509 107
226080 509 141
226892 509 176
227708 508 227
228528 509 298
229336 508 318
230144 509 316
230960 508 310
231776 510 300
232592 508 295
233400 509 290
234208 510 257
235024 508 211
235840 508 157
236656 508 110
237464 509 77
238228 509 60
239004 508 46
239780 508 33
240548 508 27
241316 510 27
242092 509 33
242868 508 41
243636 508 52
244404 508 74
245180 509 103
246000 510 138
246812 509 173
247624 509 220
248432 508 290
249248 508 317
250064 509 316
250872 509 312
251680 508 300
252496 508 296
253312 509 292
254128 508 260
254936 510 217
255744 509 163
256560 508 115
257372 508 80
258148 509 61
258908 509 47
259676 509 35
260452 508 28
261220 508 27
261980 508 33
262748 509 42
263524 508 49
264292 508 71
265052 508 98
265820 508 131
266640 509 167
267452 509 210
268264 509 277
269072 509 318
269888 508 316
270704 508 312
271520 509 302
272328 508 297
273136 508 293
273952 509 268
274768 509 226
275584 508 172
276392 509 124
277200 508 86
277972 509 64
278740 508 50
279508 509 37
280276 508 29
281052 508 26
281828 509 32
282596 508 39
283364 508 47
284140 509 66
284916 508 94
285684 508 125
286496 509 160
287312 508 201
288128 509 265
288940 508 317
289752 508 317
290560 509 314
291376 509 303
292192 509 298
293008 508 293
293816 508 273
294624 510 235
295440 509 181
296256 508 130
297072 508 91
297836 508 66
298604 508 52
299380 509 39
300156 509 29
300924 508 26
301692 508 31
302468 508 37
303244 509 45
304012 509 63
304780 508 89
305556 508 121
306376 510 155
307188 509 194
307996 510 253
308808 509 316
309624 508 316
310440 508 314
311248 508 305
312056 509 298
312872 509 295
313688 508 278
314504 508 240
315312 509 190
316120 509 137
316936 508 96
317708 508 70
318484 508 55
319252 508 40
320028 509 30
320800 509 26
321572 509 30
322332 508 37
323108 508 44
323884 508 60
324660 509 84
325420 509 115
326232 509 150
327048 508 188
327864 509 243
328672 509 312
329480 509 318
330296 509 314
331112 508 307
331928 509 299
332736 510 295
333544 508 284
334356 509 248
335176 509 197
335992 508 144
336800 508 100
337608 508 72
338380 508 55
339148 508 42
339916 509 31
340684 510 26
341460 508 30
342228 508 35
342996 508 42
343764 509 57
344540 509 80
345316 509 111
346128 508 145
346936 508 181
347744 509 234
348560 509 306
349376 508 318
350184 508 314
350992 508 309
351808 508 299
352624 509 295
353440 509 288
354248 509 253
355056 508 206
355872 508 151
356688 509 106
357504 509 75
358272 509 58
359040 508 44
359812 508 32
360580 508 26
361348 510 28
362116 509 34
362892 508 41
363668 508 54
364428 508 76
365196 509 107
366016 509 141
366832 509 176
367648 509 226
368456 508 298
369264 510 318
370080 509 315
370896 508 310
371704 508 300
372512 509 296
373328 509 291
374144 509 257
374960 509 210
375768 508 157
376576 508 111
377392 508 77
378164 509 60
378940 508 45
379708 509 33
380476 509 27
381252 508 27
382028 509 34
382800 508 41
383564 508 52
384340 509 74
385116 509 103
385920 509 137
386728 509 172
387544 508 219
388360 509 291
389176 509 318
389984 508 315
390792 508 312
391608 508 300
392424 508 296
393240 509 291
394048 509 261
394856 509 216
395672 508 162
396488 508 115
397296 508 81
398060 509 60
398836 508 48
399612 508 35
400384 508 27
401156 509 27
401932 509 32
402708 508 40
403476 508 50
404244 508 71
405020 508 100
405840 508 135
406656 509 169
407464 508 214
408272 508 282
409088 509 317
409904 509 315
410716 509 313
411528 509 301
412336 509 296
413152 508 292
413968 508 264
414784 510 221
415592 508 167
416400 508 119
417212 507 83
417988 509 62
418748 509 48
419516 509 35
420292 508 28
421068 508 27
421828 508 32
422596 509 38
423372 509 48
424140 508 69
424900 508 96
425668 508 128
426484 509 163
427300 509 206
428120 509 271
428928 508 318
429736 508 316
430552 508 312
431368 508 302
432184 508 297
432992 509 293
433800 509 270
434616 509 231
435432 509 177
436248 509 127
437056 508 89
437820 509 66
438596 509 51
439372 508 38
440140 508 29
440908 508 26
441684 509 31
442460 508 38
443220 508 47
443988 508 65
444764 508 91
445540 508 123
446352 509 158
447160 508 197
447976 509 258
448792 509 316
449608 509 316
450416 509 314
451224 509 304
452040 509 298
452856 508 294
453672 509 276
454480 509 238
455288 509 187
456104 508 134
456920 508 94
457684 508 69
458452 508 54
459228 508 39
460004 509 30
460772 508 26
461544 508 30
462316 509 37
463092 509 44
463860 508 62
464628 509 86
465404 508 117
466224 509 152
467040 509 191
467848 509 248
468656 510 314
469472 508 317
470288 508 314
471104 508 306
471912 509 299
472720 509 295
473536 508 281
474352 509 244
475168 508 193
475976 508 141
476784 508 98
477556 508 72
478332 508 55
479104 509 42
479872 509 32
480644 508 26
481420 509 29
482180 508 36
482948 507 43
483724 508 58
484500 509 81
485268 509 112
486080 509 147
486896 508 184
487712 508 237
488528 509 308
489336 509 317
490144 509 315
490960 509 308
491776 510 299
492592 509 295
493400 509 287
494208 508 250
495024 510 203
495840 509 150
496656 509 104
497464 507 72
498228 508 56
499004 508 43
499780 509 32
500548 508 26
501316 509 28
502092 508 35
502868 508 42
503636 509 56
504408 509 78
505180 508 109
506000 508 143
506808 508 179
507616 509 229
508432 509 304
509248 508 317
510064 507 314
510876 508 309
511684 508 300
512496 510 296
513308 508 289
514124 508 254
514936 509 207
515744 508 154
516560 509 107
517372 508 74
518140 509 59
518916 508 45
519692 509 33
520468 509 27
521236 509 28
521996 509 34
522772 508 41
523548 507 54
524324 508 76
525084 509 105
525904 508 140
526720 509 175
527536 508 224
528344 509 295
529152 509 317
529968 510 315
530784 508 310
531600 508 300
532408 509 296
533216 509 291
534032 508 258
534848 509 213
535664 508 158
536472 508 112
537280 508 78
538052 508 61
538828 508 46
539596 508 34
540364 508 27
541140 509 26
541916 509 32
542688 509 40
543452 508 51
544228 509 73
545004 509 101
545824 509 137
546632 508 171
547440 508 217
548256 510 289
549072 509 318
549884 508 316
550688 509 311
551504 508 301
552320 509 296
553136 509 291
553944 509 261
554752 509 217
555568 508 163
556384 508 116
557200 508 81
557964 509 62
558736 508 48
559508 508 35
560284 508 27
561052 509 27
561820 510 33
562596 508 39
563372 509 50
564140 508 71
564908 508 98
565684 509 131
566504 509 167
567320 508 209
568128 509 277
568936 508 317
569752 509 316
570568 509 314
571376 509 302
572184 509 296
573000 509 293
573816 509 267
574632 510 225
575440 509 171
576248 508 123
577060 508 86
577836 508 65
578612 509 49
579380 508 36
580148 508 28
580924 509 26
581700 508 32
582468 509 38
583236 509 47
584012 508 67
584788 508 94
585548 508 126
586360 510 161
587176 508 202
587992 509 267
588808 509 318
589616 508 317
590424 508 313
591240 508 303
592056 508 297
592864 508 293
593672 509 273
594488 509 233
595304 508 180
596120 509 130
596928 508 90
597692 509 67
598468 508 51
599244 509 39
600012 508 29
600780 508 26
601556 510 31
602332 508 37
603104 508 45
603872 508 63
604644 508 89
605420 508 121
606240 509 155
607048 509 196
607856 508 254
608672 508 315
609488 508 317
610296 509 314
611108 509 305
611920 509 298
612736 509 294
613552 508 277
614364 508 240
615180 509 189
615992 509 136
616808 508 94
617580 508 69
618352 508 54
619120 510 41
619892 509 30
620668 508 26
621436 508 30
622208 508 36
622980 508 44
623756 509 61
624528 508 85
625300 509 116
626120 508 151
626936 509 190
627752 509 245
628560 509 314
629368 508 317
630184 508 314
631000 507 305
631816 509 298
632628 508 295
633436 509 281
634248 509 246
635064 510 194
635872 509 143
636680 508 99
637452 508 72
638228 508 56
639004 508 42
639776 508 32
640548 508 26
641324 509 29
642092 509 36
642852 508 43
643620 508 58
644396 509 81
645172 508 112
645984 510 146
646792 508 182
647608 508 235
648424 509 306
649240 508 318
650048 508 316
650856 509 309
651672 509 299
652488 509 296
653296 508 287
654104 508 252
654920 509 204
655736 509 150
656552 509 105
657360 508 74
658124 508 58
658900 508 44
659668 509 33
660428 509 26
661196 508 27
661972 508 34
662748 509 43
663516 508 55
664284 509 76
665060 509 108
665880 508 142
666692 508 177
667504 509 227
668312 510 300
669128 508 317
669944 508 315
670760 508 308
671568 508 300
672376 509 296
