7 1023
17812248 507 1023
17813200 508 1023
17814152 508 1023
17815104 508 1023
17816056 508 1023
3
17810360 507 1023
17811304 507 1023
17812248 507 1023
17813200 508 1023
17814152 508 1023
17815104 508 1023
17816056 508 1023
3
17810360 507 1023
17811304 507 1023
17812248 507 1023
17813200 508 1023
17814152 508 1023
17815104 508 1023
17816056 508 1023
Start

time_(μs) raw_current raw_low_voltage
316 466 959
1092 467 942
1816 469 938
2544 471 935
3272 474 934
3992 475 935
4712 477 936
5440 481 938
6168 482 940
6888 484 944
7616 486 948
8344 489 952
9064 490 960
9784 493 958
10512 495 958
11284 498 957
12044 500 958
12820 503 958
13584 505 958
14356 506 958
15116 507 959
15892 507 960
16668 507 962
17432 507 964
18196 507 967
18972 507 968
19740 508 970
20508 507 973
21268 507 975
22040 507 975
22812 507 977
23580 508 979
24340 508 981
25112 507 984
25884 508 988
26656 507 989
27420 508 988
28196 508 991
28964 507 994
29732 507 998
30492 507 1001
31308 508 1004
32124 507 1007
32940 507 1009
33752 508 1011
34560 508 1014
35372 507 1016
36188 508 1019
37004 507 1020
37816 508 1022
38624 507 1023
39436 507 1023
40256 508 1023
41068 508 1023
41880 508 1023
42688 507 1023
43500 507 1023
44320 507 1023
45132 508 1023
45944 507 1023
46752 508 1023
47564 507 1023
48384 508 1023
49196 508 1023
50008 508 1023
50816 508 1023
51632 508 1023
52444 508 1023
53260 508 1023
54072 508 1023
54880 507 1023
55692 508 1023
56512 508 1023
57320 508 1023
58128 508 1023
58944 507 1023
59760 508 1023
60576 508 1023
61384 508 1023
62192 508 1023
63008 507 1023
63824 508 1023
64640 508 1023
65448 507 1023
66256 508 1023
67068 508 1023
67888 508 1023
68700 507 1023
69512 508 1023
70320 508 1023
71136 507 1023
71952 507 1023
72768 508 1022
73576 508 1020
74384 508 1018
75200 508 1016
76016 507 1014
76832 508 1012
77640 507 1010
78448 508 1008
79260 508 1006
80080 507 1005
80888 508 1004
81696 507 1003
82508 508 1003
83324 508 1004
84140 507 1005
84952 508 1005
85760 507 1007
86572 508 1009
87388 507 1011
88204 508 1013
89016 507 1015
89824 508 1018
90636 507 1019
91456 507 1023
92272 508 1023
93080 507 1023
93888 508 1023
94704 508 1023
95520 508 1023
96336 507 1023
97144 508 1023
97952 508 1023
98768 508 1023
99584 507 1023
100400 507 1023
101252 507 1023
102108 508 1023
102972 508 1023
103824 507 1023
104680 507 1023
105536 507 1023
106388 508 1023
107244 508 1023
108104 507 1023
108960 507 1023
109816 508 1022
110672 508 1022
111524 509 1021
112380 507 1020
113240 507 1020
114096 508 1019
114952 508 1019
115812 507 1019
116660 507 1018
117516 507 1018
118380 508 1018
119236 508 1019
120088 508 1019
120944 508 1019
121796 507 1020
122652 508 1021
123516 508 1021
124372 508 1022
125224 507 1023
126080 508 1023
126932 508 1023
127788 507 1023
128644 508 1023
129504 507 1023
130360 508 1023
131216 508 1023
132068 507 1023
132916 508 1023
133764 508 1023
134624 508 1023
135480 509 1023
136336 508 1023
137188 507 1023
138044 507 1023
138900 508 1023
139760 508 1023
140616 507 1023
141476 507 1023
142324 508 1023
143180 507 1023
144036 508 1023
144896 507 1023
145752 508 1023
146608 508 1023
147464 508 1023
148316 508 1023
149172 507 1023
150032 507 1023
150892 508 1023
151748 508 1023
152604 508 1023
153452 507 1023
154308 507 1023
155168 509 1023
156028 508 1023
156880 507 1023
157736 507 1023
158588 507 1023
159444 507 1023
160308 507 1023
161160 507 1023
162016 507 1023
162872 507 1023
163724 507 1023
164580 507 1023
165440 507 1023
166296 508 1023
167152 508 1023
168008 508 1023
168860 508 1023
169708 508 1023
170568 507 1023
171424 508 1023
172280 508 1023
173136 508 1023
173988 508 1023
174844 507 1023
175704 508 1023
176560 508 1023
177416 508 1023
178272 507 1023
179124 508 1023
179980 507 1023
180840 507 1023
181696 509 1023
182552 508 1023
183408 508 1023
184260 509 1023
185116 507 1023
185976 508 1023
186832 507 1023
187692 507 1023
188544 508 1023
189396 507 1023
190252 507 1023
191108 508 1023
191972 508 1023
192828 508 1023
193688 508 1023
194540 507 1023
195396 508 1023
196252 508 1023
197112 508 1023
197972 507 1023
198828 508 1023
199676 508 1023
200532 508 1023
201388 507 1023
202252 508 1023
203104 508 1023
203964 507 1023
204820 508 1023
205664 507 1023
206516 508 1023
207368 508 1023
208224 507 1023
209080 508 1023
209936 508 1023
210788 508 1023
211636 508 1023
212496 508 1023
213352 508 1023
214212 508 1023
215068 507 1022
215916 507 1023
216772 508 1023
217636 508 1023
218488 508 1023
219344 508 1023
220200 508 1023
221052 507 1023
221908 507 1022
222772 507 1023
223624 507 1023
224484 508 1023
225336 508 1023
226188 507 1023
227044 507 1023
227904 507 1023
228760 508 1023
229620 508 1023
230476 508 1023
231324 507 1023
232180 507 1023
233040 508 1023
233896 508 1023
234756 507 1023
235612 508 1023
236460 507 1023
237316 507 1023
238180 508 1023
239036 507 1023
239892 507 1023
240756 508 1023
241612 508 1023
242468 508 1023
243324 507 1023
244184 507 1023
245040 508 1023
245900 507 1023
246748 507 1023
247604 507 1023
248460 507 1023
249320 509 1023
250180 508 1023
251036 507 1023
251884 508 1023
252740 508 1023
253596 508 1023
254460 507 1023
255316 508 1022
256172 507 1023
257032 508 1023
257884 508 1023
258740 508 1023
259592 508 1023
260448 507 1023
261304 507 1023
262160 508 1023
263012 508 1023
263868 507 1023
264728 508 1023
265584 508 1023
266444 508 1023
267296 508 1023
268148 508 1023
269004 507 1023
269864 508 1023
270720 507 1023
271576 508 1023
272436 507 1023
273284 508 1023
274140 508 1023
275004 508 1023
275860 507 1023
276712 507 1022
277572 508 1023
278420 508 1023
279276 508 1022
280140 507 1023
280996 507 1023
281852 508 1023
282704 508 1023
283556 508 1023
284412 507 1023
285276 507 1023
286132 508 1023
286988 507 1023
287840 508 1023
288692 507 1023
289548 508 1023
290408 508 1023
291264 508 1023
292120 507 1022
292976 508 1023
293828 508 1023
294684 508 1023
295544 508 1023
296404 508 1023
297256 508 1023
298116 507 1023
298964 508 1023
299820 508 1023
300676 507 1023
301540 507 1023
302404 507 1023
303260 507 1023
304108 507 1023
304964 508 1023
305820 507 1023
306684 507 1023
307548 508 1023
308408 508 1023
309264 507 1023
310116 507 1023
310972 508 1023
311836 508 1023
312692 508 1023
313556 508 1023
314412 508 1023
315268 508 1023
316124 508 1023
316988 507 1023
317852 508 1023
318708 507 1023
319564 507 1023
320420 508 1023
321276 507 1023
322140 508 1023
322996 508 1023
323848 508 1023
324704 508 1023
325556 508 1023
326412 507 1023
327272 508 1023
328132 507 1023
328984 508 1023
329840 508 1023
330692 508 1023
331548 508 1023
332408 508 1023
333264 508 1023
334120 508 1023
334976 507 1023
335828 508 1023
336684 507 1023
337540 507 1023
338404 508 1023
339256 508 1023
340112 508 1023
340964 508 1023
341820 507 1023
342676 507 1023
343540 507 1023
344396 508 1023
345252 507 1023
346100 508 1023
346956 508 1023
347812 507 1023
348676 508 1022
349528 507 1023
350384 507 1023
351244 508 1023
352092 507 1023
352948 508 1023
353812 507 1023
354668 508 1023
355520 508 1023
356380 507 1023
357228 508 1023
358084 507 1023
358948 507 1023
359800 508 1023
360660 508 1023
361512 507 1023
362364 507 1023
363220 508 1023
364084 508 1023
364936 507 1023
365792 508 1023
366652 508 1023
367500 507 1023
368356 508 1023
369220 508 1023
370072 508 1023
370932 507 1023
371788 507 1023
372636 508 1023
373492 508 1023
374356 508 1023
375212 508 1023
376068 507 1023
376924 508 1023
377772 508 1023
378628 507 1023
379492 508 1023
380348 508 1023
381204 508 1023
382060 508 1023
382908 507 1023
383764 508 1023
384628 507 1023
385488 508 1023
386344 507 1023
387204 508 1023
388052 507 1023
388908 508 1023
389764 508 1023
390624 508 1023
391480 508 1023
392340 508 1023
393188 507 1023
394044 507 1023
394900 507 1023
395764 508 1023
396620 507 1023
397476 507 1023
398332 508 1023
399188 507 1023
400044 507 1023
400904 508 1023
401760 507 1023
402616 508 1023
403476 507 1023
404324 507 1023
405180 507 1023
406044 508 1023
406900 508 1023
407756 508 1023
408612 508 1023
409468 507 1023
410324 508 1023
411184 508 1023
412040 508 1023
412896 508 1023
413752 508 1023
414604 508 1023
415460 507 1023
416320 508 1023
417176 508 1023
418032 508 1022
418888 508 1023
419740 507 1023
420596 507 1023
421456 508 1023
422312 508 1023
423172 507 1023
424028 508 1023
424876 508 1023
425732 507 1023
426592 507 1023
427452 508 1023
428308 507 1023
429164 508 1023
430012 508 1023
430868 508 1023
431732 508 1023
432588 507 1023
433444 508 1023
434300 507 1023
435148 508 1023
436004 508 1023
436860 507 1023
437720 507 1023
438580 508 1023
439432 508 1023
440284 508 1023
441140 508 1023
441996 508 1023
442860 508 1023
443716 507 1023
444572 507 1023
445420 508 1023
446276 507 1023
447132 507 1023
447996 507 1023
448860 508 1023
449720 508 1023
450580 508 1023
451428 508 1023
452284 507 1023
453144 507 1023
454000 508 1023
454860 508 1023
455716 508 1023
456564 508 1023
457420 508 1023
458284 507 1023
459136 508 1023
459996 508 1023
460860 507 1023
461716 507 1023
462572 508 1023
463436 508 1023
464292 508 1023
465144 507 1023
466004 508 1023
466852 508 1023
467708 508 1023
468572 508 1023
469428 508 1023
470284 507 1023
471148 508 1023
472004 508 1023
472860 508 1023
473724 507 1023
474576 508 1023
475436 508 1023
476292 508 1023
477148 508 1023
478004 507 1023
478860 508 1023
479724 508 1023
480580 508 1023
481444 507 1023
482292 508 1023
483148 508 1023
484004 507 1023
484864 507 1023
485724 508 1023
486580 507 1023
487440 507 1023
488292 507 1023
489148 508 1023
490012 507 1023
490868 507 1023
491724 507 1023
492584 507 1023
493436 507 1023
494292 508 1023
495156 508 1023
496012 507 1023
496864 508 1023
497720 508 1023
498572 507 1023
499428 508 1023
500292 507 1023
501148 508 1023
502004 508 1023
502860 508 1023
503708 507 1023
504564 508 1023
505428 508 1023
506284 507 1023
507148 508 1023
508004 507 1023
508860 507 1023
509716 507 1023
510580 507 1023
511444 508 1023
512308 508 1023
513168 508 1023
514020 508 1023
514876 508 1023
515732 508 1023
516592 508 1023
517448 508 1023
518304 508 1023
519156 507 1023
520012 508 1023
520868 507 1023
521728 508 1023
522584 507 1023
523440 507 1023
524296 508 1023
525148 507 1023
