.0 507.00
375248.00 508.00 499.00
376876.00 508.00 500.00
378504.00 508.00 501.00
380140.00 508.00 503.00
381768.00 508.00 504.00
383400.00 508.00 505.00
385040.00 508.00 507.00
386664.00 508.00 507.00
388292.00 508.00 505.00
389920.00 508.00 503.00
391548.00 508.00 500.00
393176.00 508.00 498.00
394808.00 508.00 499.00
396444.00 508.00 500.00
398072.00 509.00 501.00
399712.00 508.00 502.00
401336.00 508.00 504.00
402968.00 508.00 505.00
404596.00 509.00 507.00
406224.00 508.00 508.00
407852.00 508.00 506.00
409480.00 509.00 504.00
411120.00 509.00 501.00
412756.00 508.00 498.00
414384.00 508.00 498.00
416012.00 508.00 499.00
417636.00 508.00 500.00
419260.00 508.00 501.00
420892.00 508.00 503.00
422516.00 508.00 505.00
424148.00 508.00 506.00
425776.00 507.00 507.00
427400.00 508.00 507.00
429024.00 508.00 505.00
430648.00 507.00 502.00
432276.00 508.00 498.00
433904.00 507.00 498.00
435532.00 508.00 499.00
437160.00 509.00 500.00
438784.00 508.00 501.00
440412.00 508.00 503.00
442040.00 508.00 504.00
443668.00 508.00 505.00
445296.00 509.00 508.00
446920.00 507.00 507.00
448556.00 508.00 505.00
450184.00 508.00 503.00
451812.00 508.00 499.00
453440.00 508.00 499.00
455064.00 508.00 499.00
456688.00 508.00 500.00
458312.00 508.00 501.00
459940.00 508.00 502.00
461568.00 508.00 504.00
463204.00 508.00 506.00
464832.00 508.00 507.00
466456.00 508.00 508.00
468084.00 508.00 506.00
469712.00 508.00 504.00
471344.00 509.00 500.00
472968.00 508.00 498.00
474600.00 508.00 498.00
476228.00 508.00 499.00
477856.00 508.00 501.00
479484.00 508.00 502.00
481112.00 507.00 504.00
482744.00 508.00 505.00
484380.00 508.00 507.00
486008.00 507.00 508.00
487644.00 508.00 506.00
489272.00 508.00 504.00
490904.00 508.00 501.00
492536.00 507.00 498.00
494168.00 508.00 498.00
495796.00 508.00 499.00
497424.00 508.00 500.00
499060.00 508.00 501.00
500688.00 508.00 503.00
502320.00 508.00 505.00
503948.00 508.00 506.00
505576.00 508.00 508.00
507216.00 508.00 507.00
508840.00 508.00 505.00
510464.00 508.00 503.00
512096.00 508.00 499.00
513716.00 507.00 498.00
515348.00 508.00 499.00
516976.00 507.00 500.00
518600.00 508.00 502.00
520228.00 508.00 503.00
521856.00 508.00 504.00
523484.00 508.00 505.00
525112.00 508.00 507.00
526736.00 508.00 507.00
528360.00 508.00 505.00
529984.00 508.00 503.00
531612.00 508.00 500.00
533240.00 508.00 498.00
534868.00 508.00 499.00
536496.00 508.00 500.00
538120.00 508.00 501.00
539748.00 508.00 502.00
