.0  1023.00
1426260.00 508.00 1023.00
1427972.00 508.00 1023.00
1429692.00 508.00 1023.00
1431408.00 509.00 1023.00
1433120.00 509.00 1023.00
1434836.00 508.00 1023.00
1436548.00 508.00 1023.00
1438260.00 508.00 1023.00
1439980.00 507.00 1023.00
1441696.00 508.00 1023.00
1443404.00 509.00 1023.00
1445124.00 509.00 1023.00
1446836.00 508.00 1023.00
1448548.00 509.00 1023.00
1450268.00 509.00 1023.00
1451980.00 508.00 1023.00
1453696.00 509.00 1023.00
1455412.00 508.00 1023.00
1457124.00 508.00 1023.00
1458836.00 507.00 1023.00
1460556.00 508.00 1023.00
1462268.00 508.00 1023.00
1463988.00 508.00 1023.00
1465708.00 509.00 1023.00
1467428.00 507.00 1023.00
1469140.00 508.00 1023.00
1470860.00 509.00 1023.00
1472580.00 507.00 1023.00
1474292.00 509.00 1023.00
1476012.00 508.00 1022.00
1477732.00 508.00 1023.00
1479444.00 508.00 1023.00
1481164.00 508.00 1023.00
1482884.00 508.00 1023.00
1484596.00 509.00 1023.00
1486312.00 509.00 1023.00
1488028.00 508.00 1023.00
1489740.00 508.00 1023.00
1491452.00 507.00 1023.00
1493172.00 508.00 1023.00
1494888.00 507.00 1023.00
1496596.00 508.00 1023.00
1498316.00 508.00 1023.00
1500028.00 508.00 1023.00
1501744.00 508.00 1023.00
1503460.00 509.00 1023.00
1505176.00 507.00 1023.00
1506888.00 508.00 1023.00
1508604.00 509.00 1023.00
1510320.00 508.00 1023.00
1512032.00 508.00 1023.00
1513748.00 507.00 1023.00
1515464.00 507.00 1023.00
1517176.00 509.00 1023.00
1518892.00 509.00 1023.00
1520608.00 509.00 1023.00
1522320.00 508.00 1023.00
1524036.00 509.00 1022.00
1525748.00 508.00 1023.00
1527464.00 509.00 1023.00
1529180.00 509.00 1023.00
1530900.00 507.00 1023.00
1532616.00 509.00 1023.00
1534332.00 507.00 1023.00
1536052.00 507.00 1023.00
1537764.00 508.00 1023.00
1539484.00 509.00 1023.00
1541204.00 508.00 1023.00
1542916.00 508.00 1022.00
1544636.00 509.00 1023.00
1546356.00 508.00 1023.00
1548068.00 507.00 1023.00
1549780.00 508.00 1023.00
1551500.00 509.00 1023.00
1553216.00 508.00 1023.00
1554928.00 508.00 1023.00
1556644.00 508.00 1023.00
1558356.00 509.00 1023.00
1560072.00 507.00 1023.00
1561788.00 508.00 1023.00
1563500.00 509.00 1023.00
1565216.00 508.00 1023.00
1566932.00 509.00 1023.00
1568644.00 508.00 1023.00
1570356.00 507.00 1023.00
1572076.00 510.00 1023.00
1573792.00 508.00 1023.00
1575504.00 509.00 1023.00
1577220.00 509.00 1023.00
1578932.00 507.00 1023.00
1580648.00 508.00 1023.00
1582364.00 508.00 1023.00
1584080.00 509.00 1023.00
1585788.00 508.00 1023.00
1587508.00 509.00 1023.00
1589224.00 509.00 1023.00
1590932.00 507.00 1023.00
1592652.00 508.00 1023.00
1594368.00 505.00 1023.00
1596088.00 509.00 1023.00
1597804.00 508.00 1023.00
1599524.00 509.00 1023.00
1601240.00 509.00 1023.00
1602956.00 508.00 1023.00
1604676.00 509.00 1023.00
1606388.00 507.00 1023.00
1608108.00 508.00 1023.00
1609828.00 508.00 1023.00
1611540.00 508.00 1023.00
1613260.00 507.00 1023.00
1614980.00 508.00 1023.00
1616692.00 509.00 1022.00
1618404.00 508.00 1023.00
1620124.00 509.00 1023.00
1621836.00 509.00 1023.00
1623548.00 508.00 1023.00
1625268.00 508.00 1023.00
1626984.00 508.00 1023.00
1628692.00 509.00 1023.00
1630412.00 508.00 1022.00
