Start

time_(μs) raw_current raw_low_voltage
316.00 508.00 0.00
1816.00 508.00 0.00
3276.00 507.00 0.00
4724.00 508.00 0.00
6180.00 508.00 0.00
7632.00 508.00 29.00
9136.00 508.00 74.00
10648.00 508.00 137.00
12248.00 508.00 244.00
13840.00 508.00 296.00
15444.00 508.00 287.00
17044.00 508.00 240.00
18644.00 508.00 143.00
20240.00 508.00 76.00
21796.00 508.00 44.00
23348.00 507.00 23.00
24900.00 509.00 25.00
26452.00 508.00 38.00
28004.00 508.00 78.00
29556.00 508.00 126.00
31152.00 508.00 216.00
32752.00 508.00 311.00
34356.00 508.00 295.00
35964.00 508.00 283.00
37568.00 508.00 209.00
39168.00 508.00 116.00
40760.00 508.00 64.00
42320.00 508.00 35.00
43868.00 508.00 23.00
45424.00 508.00 28.00
46976.00 508.00 49.00
48524.00 508.00 95.00
50080.00 508.00 149.00
51672.00 508.00 255.00
53280.00 508.00 308.00
54880.00 508.00 292.00
56484.00 508.00 266.00
58084.00 508.00 176.00
59688.00 507.00 95.00
61240.00 508.00 55.00
62792.00 508.00 28.00
64344.00 508.00 24.00
65892.00 508.00 30.00
67448.00 508.00 62.00
69008.00 508.00 109.00
70612.00 508.00 179.00
72212.00 508.00 293.00
73824.00 508.00 300.00
75432.00 508.00 289.00
77048.00 508.00 239.00
78652.00 508.00 143.00
80252.00 508.00 77.00
81808.00 508.00 43.00
83368.00 508.00 23.00
84928.00 508.00 25.00
86488.00 508.00 39.00
88048.00 508.00 79.00
89608.00 508.00 128.00
91216.00 508.00 221.00
92820.00 508.00 310.00
94432.00 508.00 294.00
96040.00 508.00 282.00
97648.00 508.00 204.00
99252.00 508.00 112.00
100852.00 509.00 63.00
102456.00 508.00 31.00
104060.00 508.00 22.00
105664.00 508.00 28.00
107268.00 508.00 55.00
108872.00 508.00 103.00
110520.00 508.00 171.00
112168.00 508.00 287.00
113824.00 508.00 300.00
115476.00 508.00 288.00
117128.00 508.00 234.00
118776.00 508.00 135.00
120424.00 508.00 71.00
122036.00 508.00 38.00
123636.00 508.00 21.00
125240.00 508.00 25.00
126844.00 508.00 44.00
128444.00 508.00 90.00
130044.00 508.00 144.00
131696.00 508.00 252.00
133320.00 508.00 306.00
134952.00 508.00 291.00
136576.00 508.00 262.00
138200.00 508.00 169.00
139816.00 508.00 90.00
141404.00 508.00 51.00
142984.00 508.00 26.00
144564.00 508.00 23.00
146140.00 508.00 32.00
147724.00 508.00 69.00
149304.00 508.00 117.00
150920.00 508.00 198.00
152548.00 508.00 307.00
154176.00 509.00 296.00
155812.00 508.00 286.00
157440.00 508.00 216.00
159072.00 508.00 120.00
160700.00 508.00 65.00
162280.00 508.00 35.00
163860.00 508.00 22.00
165436.00 508.00 26.00
167020.00 508.00 49.00
168596.00 508.00 96.00
170180.00 508.00 152.00
171800.00 508.00 262.00
173436.00 508.00 306.00
175064.00 508.00 290.00
176696.00 508.00 257.00
178324.00 508.00 161.00
179944.00 508.00 85.00
181532.00 507.00 48.00
183112.00 508.00 24.00
184688.00 508.00 24.00
186268.00 508.00 34.00
187844.00 507.00 72.00
189424.00 509.00 120.00
191044.00 508.00 207.00
192672.00 508.00 309.00
194304.00 508.00 295.00
195932.00 508.00 283.00
197560.00 508.00 210.00
199176.00 508.00 115.00
200808.00 508.00 63.00
202388.00 508.00 33.00
203972.00 508.00 22.00
205552.00 508.00 27.00
207140.00 508.00 52.00
208716.00 508.00 99.00
210292.00 508.00 158.00
211912.00 508.00 271.00
213544.00 508.00 304.00
215180.00 508.00 289.00
216808.00 508.00 251.00
218432.00 508.00 154.00
220056.00 508.00 80.00
221640.00 508.00 46.00
223212.00 508.00 23.00
224792.00 508.00 23.00
226380.00 508.00 36.00
227960.00 508.00 75.00
229540.00 508.00 125.00
231164.00 508.00 215.00
232792.00 508.00 310.00
234424.00 508.00 294.00
236056.00 508.00 281.00
237684.00 508.00 201.00
239304.00 508.00 109.00
240936.00 508.00 60.00
242520.00 508.00 30.00
244096.00 508.00 22.00
245680.00 508.00 28.00
247256.00 508.00 56.00
248844.00 508.00 103.00
250464.00 508.00 168.00
252096.00 508.00 284.00
253728.00 508.00 302.00
255360.00 509.00 289.00
256992.00 508.00 242.00
258616.00 508.00 144.00
260248.00 508.00 76.00
261832.00 508.00 42.00
263412.00 508.00 22.00
264992.00 508.00 24.00
266572.00 508.00 39.00
268148.00 508.00 81.00
269728.00 509.00 132.00
271344.00 508.00 229.00
272972.00 508.00 310.00
274604.00 508.00 293.00
276232.00 509.00 276.00
277860.00 508.00 190.00
279480.00 508.00 101.00
281104.00 508.00 57.00
282692.00 507.00 28.00
284272.00 508.00 22.00
285852.00 508.00 28.00
287432.00 508.00 60.00
289012.00 508.00 108.00
290632.00 508.00 179.00
