Start

time_(μs) raw_current raw_low_voltage
316.00 517.00 1019.00
1968.00 510.00 1016.00
3572.00 509.00 1014.00
5180.00 509.00 1016.00
6780.00 509.00 1021.00
8388.00 509.00 1023.00
9988.00 509.00 1023.00
11596.00 509.00 1023.00
13240.00 509.00 1023.00
14888.00 509.00 1023.00
16544.00 509.00 1023.00
18184.00 509.00 1023.00
19840.00 508.00 1023.00
21480.00 509.00 1023.00
23128.00 509.00 1023.00
24784.00 508.00 1023.00
26424.00 509.00 1023.00
28072.00 509.00 1023.00
29720.00 509.00 1023.00
31360.00 509.00 1023.00
33016.00 508.00 1023.00
34656.00 509.00 1023.00
36304.00 510.00 1023.00
37960.00 509.00 1023.00
39604.00 509.00 1023.00
41256.00 509.00 1023.00
42896.00 509.00 1023.00
44544.00 509.00 1023.00
46200.00 509.00 1023.00
47840.00 509.00 1023.00
49496.00 509.00 1023.00
51140.00 509.00 1023.00
52788.00 509.00 1023.00
54440.00 509.00 1023.00
56080.00 509.00 1023.00
57736.00 510.00 1023.00
59376.00 509.00 1023.00
61028.00 509.00 1023.00
62680.00 509.00 1023.00
64332.00 508.00 1023.00
65976.00 508.00 1023.00
67632.00 509.00 1023.00
69284.00 509.00 1023.00
70936.00 509.00 1023.00
72588.00 509.00 1023.00
74236.00 510.00 1023.00
75892.00 509.00 1023.00
77540.00 509.00 1023.00
79196.00 509.00 1023.00
80844.00 509.00 1023.00
82492.00 509.00 1023.00
84144.00 508.00 1023.00
85796.00 509.00 1023.00
87444.00 508.00 1023.00
89096.00 509.00 1023.00
90748.00 509.00 1023.00
92404.00 509.00 1023.00
94052.00 509.00 1023.00
95700.00 509.00 1023.00
97356.00 508.00 1023.00
99004.00 509.00 1023.00
100660.00 509.00 1023.00
102352.00 509.00 1023.00
104048.00 509.00 1023.00
105748.00 509.00 1023.00
107440.00 509.00 1023.00
109136.00 509.00 1023.00
110836.00 509.00 1023.00
112528.00 509.00 1023.00
114224.00 509.00 1023.00
115924.00 509.00 1023.00
117616.00 508.00 1023.00
119312.00 509.00 1023.00
121016.00 509.00 1023.00
122712.00 508.00 1023.00
124408.00 509.00 1023.00
126108.00 509.00 1023.00
127800.00 509.00 1023.00
129496.00 508.00 1023.00
131196.00 509.00 1023.00
132868.00 509.00 1023.00
134544.00 509.00 1023.00
136224.00 509.00 1023.00
137896.00 509.00 1023.00
139576.00 509.00 1023.00
141248.00 509.00 1023.00
142920.00 509.00 1023.00
144600.00 509.00 1023.00
146272.00 509.00 1023.00
147944.00 509.00 1023.00
149624.00 509.00 1023.00
151300.00 508.00 1023.00
152976.00 509.00 1023.00
154656.00 509.00 1023.00
156328.00 509.00 1023.00
158008.00 510.00 1023.00
159684.00 509.00 1023.00
161356.00 509.00 1023.00
163032.00 508.00 1023.00
164708.00 509.00 1023.00
166376.00 509.00 1023.00
168056.00 509.00 1023.00
169728.00 508.00 1023.00
171408.00 508.00 1023.00
173088.00 509.00 1023.00
174760.00 509.00 1023.00
176440.00 509.00 1023.00
178112.00 509.00 1023.00
179784.00 508.00 1023.00
181464.00 509.00 1023.00
183136.00 508.00 1023.00
184812.00 509.00 1023.00
186488.00 509.00 1023.00
188160.00 508.00 1023.00
189840.00 509.00 1023.00
191520.00 509.00 1023.00
193196.00 509.00 1023.00
194872.00 509.00 1023.00
196548.00 509.00 1023.00
198220.00 509.00 1023.00
199896.00 508.00 1023.00
201572.00 509.00 1023.00
203244.00 509.00 1023.00
204920.00 509.00 1023.00
206592.00 509.00 1023.00
208272.00 508.00 1023.00
209952.00 508.00 1023.00
211624.00 510.00 1023.00
213304.00 509.00 1023.00
214980.00 509.00 1023.00
216652.00 508.00 1023.00
218328.00 509.00 1023.00
220000.00 508.00 1023.00
221672.00 509.00 1023.00
223352.00 508.00 1023.00
225028.00 508.00 1023.00
226704.00 510.00 1023.00
228384.00 508.00 1023.00
230060.00 509.00 1023.00
231736.00 509.00 1023.00
233412.00 508.00 1023.00
235084.00 509.00 1023.00
236760.00 509.00 1023.00
238436.00 509.00 1023.00
240108.00 509.00 1023.00
241784.00 509.00 1023.00
243460.00 509.00 1023.00
245136.00 508.00 1023.00
246816.00 509.00 1023.00
248488.00 509.00 1023.00
250168.00 508.00 1023.00
251844.00 509.00 1023.00
253516.00 509.00 1023.00
255192.00 509.00 1023.00
256868.00 509.00 1023.00
258536.00 509.00 1023.00
260216.00 509.00 1023.00
261888.00 508.00 1023.00
263568.00 508.00 1023.00
265248.00 509.00 1023.00
266920.00 509.00 1023.00
